date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986120447,1.000000001342103,46303774477
2024-12-25,1.0,0.9999999985857922,1.000000001549147,46303774477
2024-12-26,1.0,0.9999999980710572,1.0000000021822033,46303774477
2024-12-27,1.0,0.9999999975703084,1.0000000027891323,46303774477
2024-12-28,1.0,0.9999999959369356,1.0000000042525046,46303774477
2024-12-29,1.0,0.9999999937006907,1.0000000058522776,46303774477
2024-12-30,1.0,0.9999999915672052,1.000000007453103,46303774477
2024-12-31,1.0,0.9999999896158128,1.0000000096093924,46303774477
2025-01-01,1.0,0.9999999866380099,1.0000000118814958,46303774477
2025-01-02,1.0,0.9999999845086573,1.0000000139693777,46303774477
2025-01-03,1.0,0.9999999819878266,1.0000000160910456,46303774477
2025-01-04,1.0,0.9999999800854028,1.0000000185306135,46303774477
2025-01-05,1.0,0.9999999770579883,1.0000000212662343,46303774477
2025-01-06,1.0,0.9999999743912499,1.0000000242943246,46303774477
2025-01-07,1.0,0.9999999719600244,1.000000026510701,46303774477
2025-01-08,1.0,0.9999999679016309,1.0000000302170378,46303774477
2025-01-09,1.0,0.9999999657494869,1.0000000338564634,46303774477
2025-01-10,1.0,0.9999999617486885,1.000000037067714,46303774477
2025-01-11,1.0,0.9999999585865634,1.0000000394276167,46303774477
2025-01-12,1.0,0.9999999560499085,1.0000000423945936,46303774477
2025-01-13,1.0,0.9999999526018423,1.0000000462604708,46303774477
2025-01-14,1.0,0.9999999486240867,1.0000000484819418,46303774477
2025-01-15,1.0,0.9999999450828767,1.0000000524147206,46303774477
2025-01-16,1.0,0.9999999416993922,1.000000057136365,46303774477
2025-01-17,1.0,0.9999999362280421,1.0000000629520958,46303774477
2025-01-18,1.0,0.9999999319049943,1.0000000674088303,46303774477
2025-01-19,1.0,0.9999999282447972,1.0000000710182644,46303774477
2025-01-20,1.0,0.9999999252750695,1.0000000757409597,46303774477
2025-10-03,1.9999978562367324,1.9999978562330396,1.9999978562405272,46303862950
2025-10-04,1.9999978562485385,1.999997856244346,1.9999978562525784,46303862950
2025-10-05,1.9999978562603447,1.9999978562563936,1.9999978562643286,46303862950
2025-10-06,1.9999978562721508,1.9999978562677034,1.9999978562762508,46303862950
2025-10-07,1.9999978562839567,1.9999978562797454,1.999997856287975,46303862950
2025-10-08,1.9999978562957628,1.999997856291411,1.9999978562998235,46303862950
2025-10-09,1.9999978563075689,1.9999978563034133,1.9999978563120444,46303862950
2025-10-10,1.9999978563193748,1.9999978563155159,1.9999978563235283,46303862950
2025-10-11,1.9999978563311809,1.999997856326349,1.9999978563354328,46303862950
2025-10-12,1.999997856342987,1.9999978563387133,1.9999978563472984,46303862950
2025-10-13,1.999997856354793,1.9999978563503762,1.999997856359031,46303862950
2025-10-14,1.999997856366599,1.9999978563620866,1.9999978563712302,46303862950
2025-10-15,1.999997856378405,1.999997856373722,1.999997856382768,46303862950
2025-10-16,1.9999978563902112,1.999997856385807,1.9999978563944911,46303862950
2025-10-17,1.999997856402017,1.9999978563974095,1.9999978564064216,46303862950
2025-10-18,1.9999978564138232,1.9999978564094238,1.9999978564187086,46303862950
2025-10-19,1.9999978564256293,1.999997856420888,1.9999978564300163,46303862950
2025-10-20,1.9999978564374352,1.9999978564327796,1.9999978564421823,46303862950
2025-10-21,1.9999978564492413,1.9999978564444942,1.9999978564542693,46303862950
2025-10-22,1.9999978564610474,1.9999978564563214,1.9999978564658318,46303862950
2025-10-23,1.9999978564728536,1.9999978564680354,1.9999978564781242,46303862950
2025-10-24,1.9999978564846594,1.9999978564797167,1.9999978564898568,46303862950
2025-10-25,1.9999978564964656,1.9999978564912824,1.9999978565016192,46303862950
2025-10-26,1.9999978565082717,1.9999978565029806,1.9999978565136636,46303862950
2025-10-27,1.9999978565200776,1.999997856514315,1.9999978565254004,46303862950
2025-10-28,1.9999978565318837,1.9999978565264962,1.9999978565372591,46303862950
2025-10-29,1.9999978565436898,1.9999978565381813,1.9999978565493737,46303862950
2025-10-30,1.999997856555496,1.9999978565499366,1.999997856561326,46303862950
2025-10-03,14.089301349468343,10.830214884976542,17.345624209496737,46303877432
2025-10-04,14.127092653849918,10.924863180895418,17.386344590995094,46303877432
2025-10-05,14.164883958231496,10.675110955699806,17.427469772972604,46303877432
2025-10-06,14.202675262613067,11.053511924107484,17.330530267113367,46303877432
2025-10-07,14.240466566994645,11.184941858097526,17.406005760039186,46303877432
2025-10-08,14.27825787137622,10.872397374290621,17.548623513894853,46303877432
2025-10-09,14.316049175757797,11.020334379383659,17.652283590677,46303877432
2025-10-10,14.353840480139372,11.28578681968589,17.51776184594309,46303877432
2025-10-11,14.39163178452095,11.10407793535315,17.62668733816117,46303877432
2025-10-12,14.42942308890252,11.31207754893236,17.46024364815879,46303877432
2025-10-13,14.467214393284102,11.278655159024252,17.471796675703743,46303877432
2025-10-14,14.505005697665673,11.250776613463092,17.841994269996178,46303877432
2025-10-15,14.542797002047251,11.413079558779923,17.646568343831646,46303877432
2025-10-16,14.580588306428826,11.29531642012067,17.71538426575168,46303877432
2025-10-17,14.618379610810404,11.263089444617421,17.80010682321519,46303877432
2025-10-18,14.656170915191979,11.468557595118291,17.84700784669837,46303877432
2025-10-19,14.693962219573557,11.504966872024964,17.8871066463387,46303877432
2025-10-20,14.731753523955128,11.391794283711933,17.926018344576615,46303877432
2025-10-21,14.769544828336706,11.663274737527928,17.85783238503898,46303877432
2025-10-22,14.80733613271828,11.63216265592663,17.76437935620075,46303877432
