ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-17,0.05310408398194509,46303774477,0,0.0,0.0,0.0,0.05310408398194509,,0.0
2025-02-24,0.07056438066057934,46303774477,0,0.0,0.0,0.0,0.07056438066057934,,0.0
2025-02-17,0.29120378388927604,46303862950,0,1230.6,0.0,0.0,0.29120378388927604,,358.3553764541431
2025-02-24,0.18472816829845523,46303862950,2,0.0,0.0,0.0,1.8152718317015448,0.9076359158507724,0.0
2025-02-17,0.349070385575017,46303877432,1,1295.4,1295.4,452.18577747387707,0.650929614424983,0.650929614424983,843.214222526123
2025-02-24,0.20644761230898165,46303877432,4,647.7,161.925,33.429029623131854,3.7935523876910184,0.9483880969227546,2457.0838815074726
2025-02-17,0.8674450575951823,46303948414,0,0.0,0.0,0.0,0.8674450575951823,,0.0
2025-02-24,0.8232473700757835,46303948414,0,0.0,0.0,0.0,0.8232473700757835,,0.0
2025-02-17,0.4519692497053148,46308044959,0,0.0,0.0,0.0,0.4519692497053148,,0.0
2025-02-24,0.4068000114316124,46308044959,0,0.0,0.0,0.0,0.4068000114316124,,0.0
2025-02-17,0.4320985012621805,46310250952,0,0.0,0.0,0.0,0.4320985012621805,,0.0
2025-02-24,0.3594423316157769,46310250952,0,0.0,0.0,0.0,0.3594423316157769,,0.0
2025-02-17,1.261323320614883,46310280482,0,0.0,0.0,0.0,1.261323320614883,,0.0
2025-02-24,0.7620999384449741,46310280482,0,0.0,0.0,0.0,0.7620999384449741,,0.0
2025-02-17,1.3478485876075283,46310291987,0,0.0,0.0,0.0,1.3478485876075283,,0.0
2025-02-24,0.8593755181027869,46310291987,0,0.0,0.0,0.0,0.8593755181027869,,0.0
2025-02-17,0.4924726481515452,46310334441,1,1416.0,1416.0,697.341269782588,0.5075273518484549,0.5075273518484549,718.6587302174121
2025-02-24,0.5111956941265872,46310334441,2,2301.6,1150.8,588.2840048008765,1.4888043058734128,0.7444021529367064,3426.6319903982467
2025-02-17,1.30890587026692,4636511797,1,1289.7,1289.7,1688.095900883247,0.30890587026692007,0.30890587026692007,398.39590088324684
2025-02-24,1.648224306055604,4636511797,0,0.0,0.0,0.0,1.648224306055604,,0.0
2025-02-17,0.45618320249024447,46365131910,0,0.0,0.0,0.0,0.45618320249024447,,0.0
2025-02-24,0.5410912143542597,46365131910,7,5998.8,856.9714285714286,463.699710952619,6.458908785645741,0.9227012550922487,38745.70202333167
2025-02-17,0.03134874946972088,46381587960,0,0.0,0.0,0.0,0.03134874946972088,,0.0
2025-02-24,0.05388248817513851,46381587960,1,0.0,0.0,0.0,0.9461175118248615,0.9461175118248615,0.0
2025-02-17,0.07919022054757996,46381594945,0,0.0,0.0,0.0,0.07919022054757996,,0.0
2025-02-24,0.08986789900931262,46381594945,0,0.0,0.0,0.0,0.08986789900931262,,0.0
2025-02-17,0.014008711422894369,46381604933,0,0.0,0.0,0.0,0.014008711422894369,,0.0
2025-02-24,0.005492491103657092,46381604933,0,0.0,0.0,0.0,0.005492491103657092,,0.0
2025-02-17,2.2967197827638115,44400044666,0,656.1,0.0,0.0,2.2967197827638115,,1506.8778494713367
2025-02-24,1.6458759734398982,44400044666,0,0.0,0.0,0.0,1.6458759734398982,,0.0
2025-02-17,1.779602536844907,44400044979,3,2624.4,874.8000000000001,1556.7962992319249,1.220397463155093,0.40679915438503095,3202.811102304226
2025-02-24,1.3358829611377923,44400044979,1,2953.2,2953.2,3945.129560832128,0.33588296113779226,0.33588296113779226,991.929560832128
2025-02-17,0.8659079722486058,44400045247,6,5011.8,835.3000000000001,723.2929292192605,5.134092027751394,0.8556820046252324,25731.042424684438
2025-02-24,0.924770769943116,44400045247,8,4273.5,534.1875,494.0009856689883,7.075229230056884,0.8844036537571105,30235.992114648092
2025-02-17,0.18598127633555314,44400045545,0,0.0,0.0,0.0,0.18598127633555314,,0.0
2025-02-24,0.1893694613520108,44400045545,2,1666.2,833.1,157.7636982523602,1.8106305386479893,0.9053152693239946,3016.8726034952797
2025-02-17,0.06292922922411896,46694935963,0,0.0,0.0,0.0,0.06292922922411896,,0.0
2025-02-24,0.034448219842793365,46694935963,0,0.0,0.0,0.0,0.034448219842793365,,0.0
2025-02-17,0.5227646023236504,44754799164,0,0.0,0.0,0.0,0.5227646023236504,,0.0
2025-02-24,0.24380636954542348,44754799164,1,0.0,0.0,0.0,0.7561936304545765,0.7561936304545765,0.0
2025-02-17,0.12135654717761304,44754802163,2,0.0,0.0,0.0,1.878643452822387,0.9393217264111935,0.0
2025-02-24,0.13096214708788875,44754802163,2,479.4,239.7,31.39162665696693,1.8690378529121112,0.9345189264560556,896.0167466860661
2025-02-17,0.9947878191832514,44754809351,2,719.4,359.7,357.82517856021553,1.0052121808167485,0.5026060904083742,723.1496428795688
2025-02-24,0.7492278684010835,44754809351,3,359.7,119.89999999999999,89.83242142128991,2.2507721315989166,0.7502573771996389,809.6027357361303
2025-02-17,2.274330356718954,44754812989,5,359.4,71.88,163.4788660409584,2.725669643281046,0.5451339286562092,979.6056697952079
2025-02-24,1.5923798092785413,44754812989,4,718.8,179.7,286.1506517273539,2.4076201907214587,0.6019050476803647,1730.5973930905843
2025-02-17,0.7100297434724518,4475481627,2,0.0,0.0,0.0,1.2899702565275482,0.6449851282637741,0.0
2025-02-24,0.7451888086039097,4475481627,0,179.7,0.0,0.0,0.7451888086039097,,133.91042890612255
2025-02-17,0.5678019607191159,44754818694,0,0.0,0.0,0.0,0.5678019607191159,,0.0
